gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000117822;148,1456553;-1,616541223;0,261962839;37,36011946;9,82E-10;1,25E-08;CABZ01085061,1
ENSDARG00000018032;170,0897169;-1,441425544;0,234093725;37,34320101;9,91E-10;1,26E-08;scn8ab
ENSDARG00000038300;2199,14961;0,733837742;0,119490785;37,33782953;9,93E-10;1,26E-08;rnf34a
ENSDARG00000038097;999,9580102;0,755025215;0,12324618;37,31867423;1,00E-09;1,27E-08;pigq
ENSDARG00000017023;13178,70004;1,309203439;0,211600698;37,28891317;1,02E-09;1,29E-08;ak7b
ENSDARG00000094075;406,6989479;1,499482694;0,242304999;37,27440159;1,03E-09;1,30E-08;BX936317,1
ENSDARG00000079616;4896,257855;0,711927189;0,116130395;37,26657363;1,03E-09;1,30E-08;cramp1
ENSDARG00000097876;10974,13187;1,202753251;0,194900134;37,25336265;1,04E-09;1,31E-08;si:dkey-40g16,5
ENSDARG00000097670;491,3604294;1,662802134;0,265080108;37,2485036;1,04E-09;1,32E-08;BX005048,1
ENSDARG00000053963;1441,657331;1,154069296;0,187214166;37,21988056;1,06E-09;1,33E-08;npm2b
ENSDARG00000026387;518,513525;0,927741922;0,151290776;37,20884249;1,06E-09;1,34E-08;pip4p1b
ENSDARG00000045373;13813,62832;-0,727667718;0,119027427;37,20963237;1,06E-09;1,34E-08;pabpn1
ENSDARG00000070430;7975,619142;-0,996151243;0,162333607;37,20957182;1,06E-09;1,34E-08;chtopb
ENSDARG00000076025;243,2307996;-1,328443111;0,215203559;37,20652539;1,06E-09;1,34E-08;dgkzb
ENSDARG00000095536;677,4612333;0,948922275;0,154391248;37,16788965;1,08E-09;1,37E-08;trim62,2
ENSDARG00000056206;1299,622763;-0,712546278;0,116502361;37,15012752;1,09E-09;1,38E-08;camk2g2
ENSDARG00000099755;319,0074802;-1,132884749;0,184876523;37,14179319;1,10E-09;1,38E-08;pfklb
ENSDARG00000101362;3265,550341;-0,703340886;0,114639252;37,12421;1,11E-09;1,40E-08;mibp
ENSDARG00000105077;740,9081715;0,916184847;0,14902633;37,12174937;1,11E-09;1,40E-08;hdhd5
ENSDARG00000025076;3426,986399;0,682740877;0,111601422;37,10044946;1,12E-09;1,41E-08;marveld2a
ENSDARG00000078442;1894,262927;-0,972321695;0,158720174;37,09990471;1,12E-09;1,41E-08;AL954696,1
ENSDARG00000003449;425,3981634;1,122970391;0,182412264;37,09073346;1,13E-09;1,42E-08;pde10a
ENSDARG00000036190;3335,824444;0,705920903;0,115372802;37,09088564;1,13E-09;1,42E-08;txnl4a
ENSDARG00000089513;1049,970954;1,550029076;0,249609105;37,06160503;1,14E-09;1,44E-08;si:ch211-198e20,10
ENSDARG00000092692;2273,564166;1,70161082;0,27246642;37,05894475;1,15E-09;1,44E-08;pimr133
ENSDARG00000017504;643,7537361;0,904834495;0,147751264;37,02960582;1,16E-09;1,46E-08;si:ch211-1o7,3
ENSDARG00000009014;539,3800534;-1,221337365;0,196759339;37,0266151;1,17E-09;1,46E-08;col11a1b
ENSDARG00000015807;2040,362553;0,858737389;0,140744202;36,98145961;1,19E-09;1,49E-08;rab22a
