gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000041171;33,22286889;0,448528836;0,661079144;0,426219262;0,513849954;0,846792132;crygs2
ENSDARG00000042833;880,9408934;0,161073629;0,242680634;0,426011917;0,513952357;0,846792132;rffl
ENSDARG00000044179;1710,994295;-0,133804979;0,207057312;0,425214555;0,514346485;0,846792132;rbms2a
ENSDARG00000045420;711,0103796;0,180723403;0,273166857;0,425848729;0,514032976;0,846792132;epdr1
ENSDARG00000052705;204,7092008;-0,262895374;0,40656559;0,4249147;0,514494836;0,846792132;pkp1b
ENSDARG00000058358;56736,11312;0,232427795;0,347053451;0,424657408;0,514622189;0,846792132;krt8
ENSDARG00000060116;22,16072713;0,613542991;0,940559704;0,425850222;0,514032238;0,846792132;camk1a
ENSDARG00000060222;4185,490587;-0,317378259;0,474718185;0,424709015;0,514596641;0,846792132;scn1ba
ENSDARG00000060500;452,8916834;0,208126741;0,319701178;0,427308363;0,513312657;0,846792132;l2hgdh
ENSDARG00000060682;82,98783778;0,485750034;0,692969377;0,426527619;0,51369773;0,846792132;agr1
ENSDARG00000062575;281,8814005;0,347438152;0,518675334;0,425128004;0,514389298;0,846792132;si:ch211-210g13,5
ENSDARG00000063370;814,1462998;0,52775485;0,722310153;0,42623288;0,51384323;0,846792132;sgk2a
ENSDARG00000070150;957,830706;0,201077963;0,307605682;0,427237765;0,513347457;0,846792132;jtb
ENSDARG00000071449;131,4035437;-0,423601442;0,680874711;0,427751945;0,513094101;0,846792132;fam234a
ENSDARG00000071586;521,0606113;-0,300518525;0,475778486;0,427426839;0,513254268;0,846792132;tgfbi
ENSDARG00000073988;682,0494913;-0,191880984;0,300023304;0,425440691;0,514234654;0,846792132;mntb
ENSDARG00000075505;36,08403423;-0,379590018;0,587724231;0,427088892;0,513420853;0,846792132;si:ch211-132g1,7
ENSDARG00000077211;125,2500836;-0,732235782;1,013099644;0,427470633;0,513232687;0,846792132;or112-1
ENSDARG00000077983;1090,618695;0,206831983;0,320791734;0,424567047;0,514666929;0,846792132;GPR89B
ENSDARG00000088298;893,8407207;0,342190445;0,500275043;0,425215989;0,514345775;0,846792132;si:ch211-235i11,4
ENSDARG00000092693;97398,75484;0,14210915;0,217662013;0,424720429;0,514590991;0,846792132;tpt1
ENSDARG00000093282;47,25001328;0,422719764;0,612300155;0,425801642;0,514056242;0,846792132;CR786582,1
ENSDARG00000093392;27,60602166;0,452383188;0,689337339;0,426155588;0,513881397;0,846792132;CT583651,1
ENSDARG00000093904;28,8584359;0,556596471;0,805692576;0,425601355;0,514155227;0,846792132;CT030031,1
ENSDARG00000098791;230,2219597;-0,377113753;0,580279715;0,424707534;0,514597374;0,846792132;cdhr5b
ENSDARG00000098834;452,5769605;0,279287233;0,433922322;0,424456537;0,514721654;0,846792132;sox4b
ENSDARG00000099315;572,2720469;-0,216546697;0,338200853;0,424460385;0,514719748;0,846792132;nsdhl
ENSDARG00000100113;38,94792343;-0,383684571;0,591235709;0,426231086;0,513844116;0,846792132;AL935044,2
ENSDARG00000100150;578,0768093;-0,3223149;0,514280579;0,426015455;0,513950609;0,846792132;FQ377903,1
ENSDARG00000103046;2104,584965;-0,19010632;0,29962824;0,425932135;0,513991768;0,846792132;rest
ENSDARG00000103050;28,74670793;0,481684703;0,716438624;0,427560001;0,513188654;0,846792132;mrap2b
ENSDARG00000103969;27,4212559;0,869142322;1,181107727;0,426267088;0,513826339;0,846792132;smyhc2
ENSDARG00000104698;794,377709;-0,24627967;0,376688744;0,426428645;0,513746581;0,846792132;CR925761,4
ENSDARG00000107408;24,06022978;-0,43530052;0,669797306;0,427509109;0,513213728;0,846792132;TCF4
ENSDARG00000109862;15,48685554;-0,637589499;1,038987171;0,424761073;0,514570871;0,846792132;htr1fa
ENSDARG00000115094;56,0628751;0,34962984;0,522591666;0,425260427;0,514323796;0,846792132;CABZ01087415,1
ENSDARG00000027750;947,0815707;0,164299148;0,248305328;0,424320955;0,514788808;0,84684426;dpp7
ENSDARG00000006240;1317,872505;0,169273075;0,259436171;0,42391482;0,514990061;0,847000254;slc27a1a
ENSDARG00000043720;2814,231757;0,181541639;0,275023037;0,424049614;0,514923251;0,847000254;cdc45
ENSDARG00000096026;66,95035196;0,454225717;0,670746286;0,423933556;0,514980774;0,847000254;si:dkey-4e4,1
ENSDARG00000070399;353,9724799;0,263716738;0,39649434;0,42368145;0,515105765;0,847089236;alg2
ENSDARG00000091879;133,4226968;-0,356770736;0,557288721;0,423662584;0,515115121;0,847089236;si:dkey-29d8,3
ENSDARG00000053381;2170,99705;0,342993329;0,500200516;0,423207311;0,515340982;0,847124304;plpp1a
ENSDARG00000075725;2773,700421;0,197228857;0,295594935;0,423032369;0,515427816;0,847124304;cep152
ENSDARG00000077461;1022,544161;-0,170023073;0,262769403;0,423179316;0,515354876;0,847124304;dhx32a
ENSDARG00000077639;1509,421711;0,18926649;0,29347774;0,423261149;0,515314264;0,847124304;intu
ENSDARG00000078312;522,9967194;0,426905111;0,63007679;0,423211582;0,515338862;0,847124304;pimr22
ENSDARG00000086420;39,77522623;-0,426752604;0,695229376;0,423137084;0,515375837;0,847124304;CABZ01046949,1
ENSDARG00000089075;3080,394585;-0,158470043;0,248144373;0,423274117;0,515307828;0,847124304;si:ch73-173p19,1
ENSDARG00000098369;36,26649066;0,722901436;1,184392637;0,422976069;0,515455767;0,847124304;si:dkey-165o8,1
ENSDARG00000101716;49,00168273;-0,504388078;0,798742001;0,422982403;0,515452622;0,847124304;bace1
ENSDARG00000071774;759,9708514;0,195504994;0,301236341;0,422902099;0,515492494;0,847126353;eef1e1
